         Reward           Loss         Length
        110.000          0.000            199
        110.000          0.000            195
        120.000          0.000            199
         80.000          0.000            178
         90.000          0.000            196
         80.000          0.000            141
        120.000          0.000            212
        100.000          0.000            173
         80.000          0.000            150
         70.000          0.000            169
        110.000          0.000            164
         90.000          0.000            180
         90.000          0.000            171
        110.000          0.000            185
        100.000          0.000            187
         50.000          0.000            125
        140.000          0.000            227
         80.000          0.000            170
        150.000          0.000            198
        110.000          0.000            185
         90.000          0.000            149
        140.000          0.000            195
         40.000          0.000            177
        100.000          0.000            171
        100.000          0.000            190
         80.000          0.000            177
         90.000          0.000            175
         90.000          0.000            179
        120.000          0.000            192
        180.000          0.000            226
         70.000          0.000            184
        110.000          0.000            180
         90.000          0.000            190
        160.000          0.000            204
        120.000          0.000            194
         80.000          0.000            193
         90.000          0.000            166
         70.000          0.000            172
         70.000          0.000            190
        110.000          0.000            190
         80.000          0.000            184
        120.000          0.000            207
        120.000          0.000            193
        150.000          0.000            175
        110.000          0.000            192
        170.000          0.000            208
        140.000          0.000            196
        390.000          0.000            497
        180.000          0.000            187
         90.000          0.000            172
         60.000          0.000            171
         90.000          0.000            193
         90.000          0.000            177
        130.000          0.000            196
         70.000          0.000            135
         90.000          0.000            162
        170.000          0.000            225
        130.000          0.000            214
        100.000          0.000            195
         90.000          0.000            180
         80.000          0.000            189
         80.000          0.000            164
        110.000          0.000            196
        150.000          0.000            199
        120.000          0.000            180
        100.000          0.000            177
        140.000          0.000            247
         60.000          0.000            190
         80.000          0.000            164
        110.000          0.000            183
        130.000          0.000            210
         50.000          0.000            172
         50.000          0.000            175
        140.000          0.000            177
        100.000          0.000            186
         40.000          0.000            161
         50.000          0.000            128
        120.000          0.000            194
         80.000          0.000            187
         80.000          0.000            150
         90.000          0.000            183
         70.000          0.000            180
        130.000          0.000            194
        170.000          0.000            196
         90.000          0.000            189
         70.000          0.000            131
         40.000          0.000            174
         60.000          0.000            156
        130.000          0.000            186
        140.000          0.000            182
        110.000          0.000            208
        140.000          0.000            200
        120.000          0.000            193
        100.000          0.000            170
        130.000          0.000            192
        130.000          0.000            197
        110.000          0.000            191
         60.000          0.000            130
        150.000          0.000            201
        130.000          0.000            144
         90.000          0.000            176
        170.000          0.000            236
        110.000          0.000            186
        100.000          0.000            189
        110.000          0.000            191
        130.000          0.000            215
        130.000          0.000            193
        160.000          0.000            204
        140.000          0.000            206
        120.000          0.000            190
        100.000          0.000            169
        130.000          0.000            184
        120.000          0.000            169
         70.000          0.000            169
         70.000          0.000            165
        130.000          0.000            168
         90.000          0.000            181
         90.000          0.000            157
         80.000          0.000            188
         90.000          0.000            172
        130.000          0.000            148
        100.000          0.000            178
         60.000          0.000            136
         90.000          0.000            166
        130.000          0.000            187
        170.000          0.000            206
         80.000          0.000            167
        100.000          0.000            159
        100.000          0.000            160
        120.000          0.000            194
        120.000          0.000            191
        140.000          0.000            203
         60.000          0.000            170
         70.000          0.000            176
        100.000          0.000            139
        130.000          0.000            190
        110.000          0.000            189
        110.000          0.000            184
         80.000          0.000            181
         60.000          0.000            113
         50.000          0.000            129
         90.000          0.000            196
        130.000          0.000            191
        170.000          0.000            210
        170.000          0.000            180
        120.000          0.000            200
         90.000          0.000            175
         40.000          0.000            190
        100.000          0.000            170
         40.000          0.000            169
         30.000          0.000            130
        120.000          0.000            206
        110.000          0.000            180
        170.000          0.000            217
         90.000          0.000            180
        120.000          0.000            205
        110.000          0.000            188
        110.000          0.000            206
        110.000          0.000            171
         60.000          0.000            197
        130.000          0.000            183
        140.000          0.000            194
         60.000          0.000            125
         90.000          0.000            180
         80.000          0.000            187
        150.000          0.000            181
        110.000          0.000            189
        110.000          0.000            199
         60.000          0.000            161
        120.000          0.000            192
        160.000          0.000            191
         50.000          0.000            117
        110.000          0.000            183
        250.000          0.000            422
        150.000          0.000            194
        120.000          0.000            174
         90.000          0.000            184
        100.000          0.000            170
        140.000          0.000            183
         90.000          0.000            164
         70.000          0.000            182
        100.000          0.000            184
        120.000          0.000            191
         60.000          0.000            178
         60.000          0.000            173
        190.000          0.000            337
        100.000          0.000            188
        110.000          0.000            183
        160.000          0.000            204
        120.000          0.000            176
        130.000          0.000            175
         30.000          0.000            173
        180.000          0.000            194
        100.000          0.000            157
        110.000          0.000            184
        100.000          0.000            167
        190.000          0.000            222
         90.000          0.000            181
        100.000          0.000            175
         40.000          0.000            130
        140.000          0.000            201
        100.000          0.000            151
        110.000          0.000            198
        130.000          0.000            196
         90.000          0.000            184
         90.000          0.000            140
         90.000          0.000            151
         90.000          0.000            206
         80.000          0.000            150
        100.000          0.000            198
        160.000          0.000            202
        100.000          0.000            182
        340.000          0.000            337
         70.000          0.000            130
        140.000          0.000            193
        120.000          0.000            204
        120.000          0.000            200
         90.000          0.000            165
         90.000          0.000            151
         50.000          0.000            127
         60.000          0.000            119
         50.000          0.000            171
        100.000          0.000            174
         90.000          0.000            175
        180.000          0.000            206
         90.000          0.000            184
         70.000          0.000            158
         60.000          0.000            176
         80.000          0.000            179
        100.000          0.000            175
         70.000          0.000            129
        110.000          0.000            161
        110.000          0.000            173
        120.000          0.000            174
        180.000          0.000            203
        130.000          0.000            191
        130.000          0.000            205
        220.000          0.000            205
         50.000          0.000            131
         60.000          0.000            130
        110.000          0.000            198
        110.000          0.000            202
        110.000          0.000            196
        140.000          0.000            181
        100.000          0.000            187
         80.000          0.000            182
         80.000          0.000            182
         80.000          0.000            189
         90.000          0.000            182
